role,user_need,motivation
reference archivist,to be able to route to the duplication team that previously scanned material should be sent out to a researcher without them retrieving the box,time isn't wasted
digitization team member,R&E exhibit scanning to have an accurate exhibit guide that lists the finalized version of what was shown during the exhibit,"all of the items shown are scanned, and that nothing is missed"
reference archivist,"to know to let my colleagues know when a box has been left in a ""temporary"" queue (like ""in Item Retrieval"") for weeks","the location can be updated, and the item can be placed in the proper queue"
As member of the digitization team,to have a more reliable system to inform patrons about their finished duplication orders,we don’t have to send out osticket emails because the original email was marked as spam or bounced back.
desk monitor (and patrons),to have a system that doesn’t log out but still show a confirmation message that new reading room requests went through,retrievals times aren’t missed/ patrons won't have empty carts.
retrieval person,have a better method for updating wrong locations,a person doesn’t have to update the location in multiple programs/ platforms.
retrieval person,have closed material better marked in the system/ on the box,this material doesn’t get pull and sent up to the reading room.
researcher,to see what I looked at during my last visit 1 1/2 years ago,I can plan my research agenda for my upcoming visit
graduate student researcher,to see the list of archival materials that my professor saw during her last visit,assist her effectively as her research assistant
researcher,to remotely request low-res copies of photographs on a particular topic,I can select the ones I would like to use for a PowerPoint presentation
researcher,"to request material for a one-day visit but I am not sure how much advance notice might be required, if material is stored remotely",I will be able to view the material during my limited time at RAC
researcher,share the list of the material that I saw during my multi-day visit to RAC last month,a close colleague (or team member for a collaboration) will know what I have viewed
reading room monitor,filter requests by location,I only see requests made by researchers in the reading room I'm responsible for
reading room monitor,assign pull times to a batch of requests in bulk,I can communicate to those paging materials what should be pulled at the next retrieval time
archivist,locations to be automatically retrieved and attached to requests,I don't need to look up and copy locations from an external system
desk monitor,to have some way of knowing immediately that an item is restricted,I do not pass it along from the New Reading Room queue to the To Be Paged queue
desk monitor,the system to bounce requests for restricted material back to the researcher with an explanatory email (or perhaps not even allow the researcher to request the material in the first place),the researcher knows quickly and from an impersonal source that they cannot see certain material.
desk monitor,a fairly streamlined way of routing requests for photoduplication,"it doesn't take the approximately 4-5 steps it now takes, most of which are not intuitive."
desk monitor,"the names of the queues (e.g. awaiting user review, be paged, in item retrieval, etc.) to be the same in RACcess as they are in the staff's system (whether Aeon or Circa)",there is no confusion when we talk with a researcher regarding where their material is in the pipeline.
reading room monitor or reference archivist,to be able to filter out columns (on the researcher's requests list) that are not useful to me,I can readily appraise the requests that are listed there.
reading room monitor,to be able to sort transactions on more than one heading,it is easier to pick up duplicate requests
reading room monitor,a way to screen automatically for duplicate requests,this ceases to be a problem.
reading room monitor,"a one-step way to clone a multipart request (e.g., a Ford grant on multiple reels of film) into its individual components",it doesn't require so much manipulation.
reading room monitor and/or as a reference archivist,a clear and simple way to prioritize requests,individual scheduling or somewhat awkward or buried notes.
Collections Management Archivist,"a system for donors to request their own material, that is both open and closed to researchers. Notifications of when these requests come in, on the off chance the donor has forgotten to send an email, and a way for the donor to see their request throughout the retrieval process.",I can effectively respond to donors and have a clear understanding of what they've requested.
Collections Management Archivist,to be able to have donors schedule the pick up and drop off of material to their organization in a system that can track the material,I can effectively manage the needs and expectations of our donors.
Archivist,to be able to easy move material through the retrieval and return process in a transparent and uncomplicated process,the material can always be located and followed throughout its time off the shelves.
Archivist,"a system that can tell me the history of a specific box of material using the barcodes already assigned. A system that tracks how many times a box has been checked out, to who, and when it was used. Also, the ability to track material that has damage or has been noted as missing","we have better documentation on our material using already established systems, as well as tracking material throughout its many uses."
Archivist,"to be able to see where material is throughout all of the established workflows (retrieval/checked out to a researcher/donor, in preservation, in photo duplication, sent out to a vendor, its use in an exhibit, or checked out to staff.)",I can better track material in our custody.
Donating Organization/Individual,to be able to request material from my own collection and have reference work done for me,I do not have to do physical work myself and have the answers I need in a more timely manner.
Donating Organization/Individual,"to be able to see what material I have checked out to me, what material I've reviewed over the year, and request material picked up or dropped off, in an easy transparent system that doesn't require me to do any additional notifications",I can easily and effective understand what material I've (my organization) accessed without having to constantly relearn a system.
reference archivist,"to be able to see the history of a researcher's visits, topics, and requests",I can better understand and assess their current research needs.
archivist,an option to pull up a simpler display focusing on reading room monitoring procedures,I can perform the sort of activities I need to do when on desk
reference archivist,to be able to add requests to a researcher's account,they have access to material that for various reasons they might not have otherwise identified.
reference archivist and reading room monitor,"easy ways to simplify, clarify, and navigate the display on the screen that lists all of an individual's requests (and maybe be able to wrap titles so that strings of text are not too long)",it is easy to know at a glance the content and status of a request.
reading room monitor,changes I make to a transaction to update automatically,I do not have to pause after processing a request to refresh the screen
reference and reading room archivist,"RACcess accounts to sort a researcher's requests into more meaningful categories (especially the ""Outstanding"" requests)","it is easier to distinguish items that have been requested or are checked out from materials that are just saved to a list. I think Saved items should not appear in the Outstanding list, but should be completely separate."
member of the digitization team,to have a system that combines all current patron duplication transactions into one invoice,that paying for duplication is more streamline for the duplication staff and patrons.
member of the digitization team,have a system that allows the staff to resend a patrons duplication order through the same transaction,we don’t have to utilize outside programs to resend files.
reference archivist,to be able to search a box or item's chargeout history,"if material is misplaced, we have this information to help us trace it."
reference archivist,a more automatic way to merge user profiles,"information is preserved and consolidated, even as records are updated."
